token,chain,seen_on_fomo_trending,change_24h_when_seen_pct,mcap_when_seen_usd,mcap_2026_09_25_usd,mcap_change_pct,top_traders_in_holders
螃蟹,BNB,Sep 22 2026,24900.0,1500000,179900,-88.0,no
SOL,Solana,Sep 23 2026,4144.0,231400,11100,-95.2,no
APED,Solana,Sep 22 2026,3557.0,288100,15300,-94.7,no
FROGE,Robinhood,Sep 22 2026,-44.9,890200,506600,-43.1,no
WORM,Robinhood,Sep 22 2026,-9.0,5300000,3700000,-30.2,no
musebook,Robinhood,Sep 22 2026,156.9,29800000,23000000,-22.8,yes
MarsCoin,BNB,Sep 22 2026,36.0,133000000,115000000,-13.5,yes
PONS,Robinhood,Sep 22 2026,11.4,650900000,611600000,-6.0,yes
SFX,Robinhood,Sep 22 2026,-23.1,788500,828800,5.1,no
STONK,Solana,Sep 22 2026,-18.9,262700000,286900000,9.2,yes
旺柴,BNB,Sep 22 2026,-29.2,952900,1200000,25.9,no
招财猫,BNB,Sep 22 2026,80.5,1700000,2300000,35.3,no
